id,location,region,category,product,weather,inventory,reorder_point,actual_demand,forecast_demand,supply_gap,lead_time,is_stockout,is_critical,is_shock,recommendation,priority,score,ai_insight,financial_impact,revenue_at_risk
1497,"Los Angeles, CA",Coastal,Electronics,Smartphone,Cloudy,24,122,499,325,475,10,True,True,False,URGENT AIR FREIGHT,CRITICAL,100,Critical Inventory Level | Long Lead Time + Coastal Risk,882046.5,882046.5
145,"Miami, FL",Coastal,Electronics,Headphones,Rainy,11,75,454,273,443,4,True,True,False,EXPEDITE + WEATHER BUFFER,CRITICAL,90,Critical Inventory Level | Weather: Rainy,879864.4500000001,879864.4500000001
1943,"Dallas, TX",Inland,Appliances,Smartphone,Cloudy,53,133,487,469,434,10,False,True,False,URGENT AIR FREIGHT,CRITICAL,100,Critical Inventory Level | Lead Time Gap,858217.64,0.0
1425,"New York, NY",Coastal,Appliances,Camera,Rainy,6,121,446,478,440,1,True,True,False,EXPEDITE + WEATHER BUFFER,CRITICAL,90,Critical Inventory Level | Weather: Rainy,846555.6,846555.6
2267,"New York, NY",Coastal,Electronics,Washing Machine,Stormy,30,117,467,208,437,8,False,True,False,URGENT AIR FREIGHT,CRITICAL,100,Critical Inventory Level | Long Lead Time + Coastal Risk | Weather: Stormy,824924.9,0.0
3077,"Los Angeles, CA",Coastal,Appliances,Headphones,Rainy,15,87,507,283,492,10,False,True,False,URGENT AIR FREIGHT,CRITICAL,100,Critical Inventory Level | Long Lead Time + Coastal Risk | Weather: Rainy,765906.24,0.0
531,"Chicago, IL",Inland,Appliances,Laptop,Sunny,29,100,483,131,454,8,False,True,False,URGENT AIR FREIGHT,CRITICAL,100,Critical Inventory Level | Lead Time Gap,755306.18,0.0
3695,"Chicago, IL",Inland,Electronics,Camera,Rainy,26,117,492,377,466,10,True,True,False,URGENT AIR FREIGHT | INCREASE SAFETY STOCK,CRITICAL,160,Critical Inventory Level | Lead Time Gap | Weather: Rainy,738950.18,738950.18
675,"New York, NY",Coastal,Electronics,Fridge,Stormy,124,75,501,268,377,9,True,False,False,EXPEDITE + WEATHER BUFFER,CRITICAL,90,Long Lead Time + Coastal Risk | Weather: Stormy,737660.8200000001,737660.8200000001
2720,"Miami, FL",Coastal,Electronics,TV,Stormy,62,139,501,349,439,5,True,True,False,EXPEDITE + WEATHER BUFFER,CRITICAL,90,Critical Inventory Level | Weather: Stormy,732862.2100000001,732862.2100000001
417,"New York, NY",Coastal,Appliances,Laptop,Stormy,26,97,502,483,476,8,True,True,False,URGENT AIR FREIGHT | EXPEDITE + WEATHER BUFFER,CRITICAL,190,Critical Inventory Level | Long Lead Time + Coastal Risk | Weather: Stormy,721611.24,721611.24
3849,"Miami, FL",Coastal,Appliances,Smartphone,Stormy,76,103,464,130,388,2,True,False,False,EXPEDITE + WEATHER BUFFER,CRITICAL,90,Weather: Stormy,718300.52,718300.52
4839,"Dallas, TX",Inland,Electronics,Smartphone,Stormy,16,92,430,351,414,9,False,True,False,URGENT AIR FREIGHT,CRITICAL,100,Critical Inventory Level | Lead Time Gap | Weather: Stormy,713582.8200000001,0.0
1039,"Chicago, IL",Inland,Electronics,Tablet,Cloudy,8,53,420,312,412,8,False,True,False,URGENT AIR FREIGHT,CRITICAL,100,Critical Inventory Level | Lead Time Gap,711458.08,0.0
198,"Dallas, TX",Inland,Electronics,TV,Cloudy,27,117,452,116,425,8,True,True,False,URGENT AIR FREIGHT,CRITICAL,100,Critical Inventory Level | Lead Time Gap,679162.75,679162.75
1377,"Chicago, IL",Inland,Electronics,Laptop,Rainy,28,84,493,409,465,10,False,True,False,URGENT AIR FREIGHT,CRITICAL,100,Critical Inventory Level | Lead Time Gap | Weather: Rainy,676709.85,0.0
811,"Los Angeles, CA",Coastal,Appliances,Smartphone,Sunny,31,120,483,394,452,9,False,True,False,URGENT AIR FREIGHT,CRITICAL,100,Critical Inventory Level | Long Lead Time + Coastal Risk,645822.12,0.0
4779,"Miami, FL",Coastal,Appliances,Smartphone,Rainy,72,81,477,386,405,7,True,False,False,EXPEDITE + WEATHER BUFFER,CRITICAL,90,Weather: Rainy,645136.65,645136.65
2338,"Los Angeles, CA",Coastal,Electronics,Laptop,Sunny,3,128,503,356,500,8,False,True,False,URGENT AIR FREIGHT,CRITICAL,100,Critical Inventory Level | Long Lead Time + Coastal Risk,634370.0,0.0
2979,"Dallas, TX",Inland,Appliances,Fridge,Cloudy,15,114,381,423,366,9,True,True,False,URGENT AIR FREIGHT,CRITICAL,100,Critical Inventory Level | Lead Time Gap,622415.94,622415.94
1787,"New York, NY",Coastal,Electronics,Washing Machine,Rainy,99,129,458,112,359,1,True,False,False,EXPEDITE + WEATHER BUFFER,CRITICAL,90,Weather: Rainy,610055.88,610055.88
1020,"Miami, FL",Coastal,Electronics,TV,Stormy,51,50,365,269,314,3,True,False,False,EXPEDITE + WEATHER BUFFER,CRITICAL,90,Weather: Stormy,604048.08,604048.08
413,"Miami, FL",Coastal,Appliances,Fridge,Stormy,46,83,375,270,329,2,True,False,False,EXPEDITE + WEATHER BUFFER,CRITICAL,90,Weather: Stormy,603066.87,603066.87
1123,"Miami, FL",Coastal,Electronics,Smartphone,Stormy,48,96,394,443,346,6,True,False,False,EXPEDITE + WEATHER BUFFER,CRITICAL,90,Weather: Stormy,599842.9,599842.9
3106,"Miami, FL",Coastal,Appliances,Camera,Stormy,175,100,474,157,299,5,True,False,False,EXPEDITE + WEATHER BUFFER,CRITICAL,90,Weather: Stormy,595027.94,595027.94
1299,"New York, NY",Coastal,Appliances,Laptop,Stormy,163,142,477,256,314,6,True,False,False,EXPEDITE + WEATHER BUFFER,CRITICAL,90,Weather: Stormy,590778.4400000001,590778.4400000001
3340,"Los Angeles, CA",Coastal,Appliances,Tablet,Rainy,54,78,506,124,452,4,True,False,False,EXPEDITE + WEATHER BUFFER,CRITICAL,90,Weather: Rainy,581561.28,581561.28
51,"Chicago, IL",Inland,Appliances,TV,Sunny,34,147,490,422,456,10,False,True,False,URGENT AIR FREIGHT,CRITICAL,100,Critical Inventory Level | Lead Time Gap,580506.24,0.0
2852,"New York, NY",Coastal,Appliances,Smartphone,Rainy,30,61,369,477,339,6,True,True,False,EXPEDITE + WEATHER BUFFER,CRITICAL,90,Critical Inventory Level | Weather: Rainy,572554.05,572554.05
4444,"Chicago, IL",Inland,Appliances,Smartphone,Sunny,43,148,397,322,354,9,True,True,False,URGENT AIR FREIGHT,CRITICAL,100,Critical Inventory Level | Lead Time Gap,568647.9,568647.9
3443,"Los Angeles, CA",Coastal,Appliances,Camera,Cloudy,11,70,491,226,480,8,False,True,False,URGENT AIR FREIGHT,CRITICAL,100,Critical Inventory Level | Long Lead Time + Coastal Risk,566308.7999999999,0.0
1674,"New York, NY",Coastal,Appliances,Fridge,Stormy,94,150,467,500,373,10,True,False,False,EXPEDITE + WEATHER BUFFER,CRITICAL,90,Long Lead Time + Coastal Risk | Weather: Stormy,565270.31,565270.31
1952,"Miami, FL",Coastal,Electronics,Tablet,Stormy,195,51,499,353,304,10,True,False,False,EXPEDITE + WEATHER BUFFER,CRITICAL,90,Long Lead Time + Coastal Risk | Weather: Stormy,559454.24,559454.24
2534,"Dallas, TX",Inland,Appliances,TV,Cloudy,49,103,341,257,292,8,False,True,False,URGENT AIR FREIGHT,CRITICAL,100,Critical Inventory Level | Lead Time Gap,552791.0399999999,0.0
3200,"Miami, FL",Coastal,Appliances,Washing Machine,Stormy,163,55,468,349,305,2,True,False,False,EXPEDITE + WEATHER BUFFER,CRITICAL,90,Weather: Stormy,552446.5,552446.5
2078,"Los Angeles, CA",Coastal,Appliances,Laptop,Stormy,41,54,461,308,420,3,True,False,False,EXPEDITE + WEATHER BUFFER,CRITICAL,90,Weather: Stormy,548129.4,548129.4
