transaction_id,customer_id,product_id,product_name,category,quantity_sold,unit_price,transaction_date,store_id,store_location,inventory_level,reorder_point,reorder_quantity,supplier_id,supplier_lead_time,customer_age,customer_gender,customer_income,customer_loyalty_level,payment_method,promotion_applied,promotion_type,weather_conditions,holiday_indicator,weekday,stockout_indicator,forecasted_demand,actual_demand,operational_region,weather_zone,is_coastal,demand_gap,demand_ratio,demand_gap_pct,stockout_risk,days_of_inventory,critical_stockout,lead_time_buffer,can_survive_lead_time,demand_zscore,is_demand_shock,is_demand_crash,is_weather_shock,has_weather_impact,unmet_demand,revenue_at_risk,potential_revenue_at_risk,supply_gap,projected_stockout,week
1,2824,843,Fridge,Electronics,3,188.46,2024-03-31 21:46:00,3,"Miami, FL",246,116,170,474,8,29,Other,98760.83,Silver,Credit Card,True,,Stormy,False,Friday,True,172,179,Coastal,Hurricane Risk,1,7,1.0406976744186047,4.069767441860465,False,1.3743016759776536,False,-6.625698324022347,False,-1.0036146862305133,False,False,False,True,0,0.0,0.0,-67,False,13
2,1409,135,TV,Electronics,4,1912.04,2024-07-28 12:45:00,5,"Dallas, TX",43,70,212,135,4,34,Other,69781.93,Gold,Cash,True,Percentage Discount,Rainy,False,Monday,True,109,484,Inland,Moderate,0,375,4.440366972477064,344.0366972477064,True,0.08884297520661157,False,-3.9111570247933884,False,1.5065761583766482,False,False,True,True,441,843209.64,925427.36,441,True,30
3,5506,391,Fridge,Electronics,4,1377.75,2024-06-10 04:55:00,1,"Los Angeles, CA",411,94,252,475,2,69,Other,77373.1,Platinum,Cash,False,,Sunny,False,Tuesday,True,289,416,Coastal,Moderate,1,127,1.439446366782007,43.944636678200695,False,0.9879807692307693,False,-1.0120192307692308,False,0.9469270520380023,False,False,False,False,5,6888.75,0.0,5,True,24
4,5012,710,Smartphone,Electronics,5,182.31,2024-08-15 01:03:00,5,"Miami, FL",452,87,112,118,7,47,Other,33383.04,Silver,Cash,True,Percentage Discount,Sunny,True,Sunday,False,174,446,Coastal,Hurricane Risk,1,272,2.5632183908045976,156.32183908045977,False,1.0134529147982063,False,-5.986547085201794,False,1.193831069540346,False,False,False,False,0,0.0,0.0,-6,False,33
5,4657,116,Laptop,Electronics,3,499.28,2024-09-13 00:45:00,6,"Chicago, IL",412,99,177,155,4,70,Female,108999.41,Bronze,Digital Wallet,False,,Sunny,False,Thursday,True,287,469,Inland,Winter Storm,0,182,1.6341463414634145,63.41463414634146,False,0.8784648187633263,False,-3.121535181236674,False,1.3831241496254763,False,False,False,False,57,28458.96,0.0,57,True,37
6,3286,630,Camera,Electronics,4,1465.38,2024-07-06 07:24:00,1,"New York, NY",196,80,210,169,4,40,Male,31779.77,Bronze,Credit Card,True,,Sunny,True,Saturday,False,294,265,Coastal,Winter Storm,1,-29,0.9013605442176871,-9.863945578231291,False,0.7396226415094339,False,-3.260377358490566,False,-0.29582316939046116,False,False,False,False,0,0.0,0.0,69,True,27
7,2679,238,Laptop,Appliances,3,1904.7,2024-03-17 22:33:00,3,"Dallas, TX",24,52,287,250,3,54,Female,75813.17,Platinum,Cash,False,BOGO,Sunny,False,Sunday,True,178,257,Inland,Moderate,0,79,1.4438202247191012,44.38202247191011,True,0.0933852140077821,True,-2.906614785992218,False,-0.3290772173044389,False,False,False,False,233,443795.10000000003,489507.9,233,True,11
8,9935,409,Tablet,Electronics,4,875.16,2024-07-22 13:57:00,16,"Los Angeles, CA",125,92,178,248,5,57,Female,115784.29,Silver,Debit Card,False,Percentage Discount,Rainy,True,Thursday,True,165,264,Coastal,Moderate,1,99,1.6,60.0,False,0.4734848484848485,False,-4.526515151515151,False,-0.3040533033072059,False,False,True,True,139,121647.23999999999,0.0,139,True,30
9,2424,106,Camera,Electronics,4,1627.48,2024-03-30 04:10:00,12,"New York, NY",103,129,172,368,4,64,Other,77392.78,Platinum,Credit Card,False,,Sunny,True,Saturday,True,476,428,Coastal,Winter Storm,1,-48,0.8991596638655462,-10.084033613445378,True,0.24065420560747663,False,-3.7593457943925235,False,1.0456886590389398,False,False,False,False,325,528931.0,696561.4400000001,325,True,13
10,7912,407,Laptop,Appliances,5,666.27,2024-06-17 16:59:00,10,"Chicago, IL",424,88,253,494,1,24,Male,44787.7,Bronze,Digital Wallet,True,,Sunny,True,Monday,True,395,400,Inland,Winter Storm,0,5,1.0126582278481013,1.2658227848101267,False,1.06,False,0.06000000000000005,True,0.8443733966536742,False,False,False,False,0,0.0,0.0,-24,False,25
