Priority,Score,Store Location,Category,Product,Weather,Current Inventory,Predicted Demand,Supply Gap,Lead Time (Days),AI Recommendation,Financial Impact ($)
CRITICAL,280,"Los Angeles, CA",Electronics,Smartphone,Rainy,13,296.8614474653936,283.8614474653936,10,EMERGENCY AIR FREIGHT,437373.7182546785
CRITICAL,280,"Chicago, IL",Appliances,Tablet,Rainy,10,260.43331111455853,250.43331111455853,8,EMERGENCY AIR FREIGHT,394354.8306789842
CRITICAL,280,"Los Angeles, CA",Electronics,TV,Stormy,16,291.4529481548176,275.4529481548176,10,EMERGENCY AIR FREIGHT,314333.13178687013
CRITICAL,280,"Los Angeles, CA",Electronics,TV,Stormy,11,294.6817466491821,283.6817466491821,8,EMERGENCY AIR FREIGHT,311386.10602694127
CRITICAL,280,"Chicago, IL",Electronics,Washing Machine,Stormy,46,285.3661443795589,239.36614437955888,9,EMERGENCY AIR FREIGHT,64056.773897413754
CRITICAL,240,"Chicago, IL",Electronics,Camera,Rainy,26,336.8678057940588,310.8678057940588,10,EMERGENCY AIR FREIGHT,492952.4056818129
CRITICAL,240,"Los Angeles, CA",Electronics,Washing Machine,Stormy,14,308.33649764493794,294.33649764493794,8,EMERGENCY AIR FREIGHT,484327.76350976893
CRITICAL,240,"New York, NY",Appliances,Laptop,Stormy,26,338.57391073848737,312.57391073848737,8,EMERGENCY AIR FREIGHT,473858.9229404395
CRITICAL,240,"Los Angeles, CA",Electronics,Smartphone,Stormy,6,303.3912184171752,297.3912184171752,9,EMERGENCY AIR FREIGHT,459671.6584830594
CRITICAL,240,"Dallas, TX",Electronics,Camera,Rainy,51,285.06696801063265,234.06696801063265,10,EMERGENCY AIR FREIGHT,458382.70613394235
CRITICAL,240,"New York, NY",Appliances,Washing Machine,Rainy,22,287.4294885042172,265.4294885042172,8,EMERGENCY AIR FREIGHT,409095.8534520098
CRITICAL,240,"Chicago, IL",Appliances,Laptop,Rainy,18,336.0904427428593,318.0904427428593,8,EMERGENCY AIR FREIGHT,359238.62241607555
CRITICAL,240,"New York, NY",Appliances,Tablet,Rainy,24,328.41873756092997,304.41873756092997,9,EMERGENCY AIR FREIGHT,358720.9519670487
CRITICAL,240,"Chicago, IL",Appliances,Washing Machine,Rainy,36,315.60528900585206,279.60528900585206,9,EMERGENCY AIR FREIGHT,354231.940641514
CRITICAL,240,"Chicago, IL",Appliances,Tablet,Stormy,31,289.25290095719686,258.25290095719686,10,EMERGENCY AIR FREIGHT,349377.43705994374
CRITICAL,240,"New York, NY",Electronics,Headphones,Stormy,45,286.1555634893217,241.1555634893217,9,EMERGENCY AIR FREIGHT,341500.39345722843
CRITICAL,240,"Chicago, IL",Electronics,TV,Rainy,26,318.71881923138443,292.71881923138443,8,EMERGENCY AIR FREIGHT,326510.2797234555
CRITICAL,240,"Dallas, TX",Electronics,Camera,Stormy,40,335.56846758616337,295.56846758616337,9,EMERGENCY AIR FREIGHT,291294.54754486744
CRITICAL,240,"Los Angeles, CA",Electronics,Headphones,Rainy,55,308.51535332241866,253.51535332241866,10,EMERGENCY AIR FREIGHT,278164.65112595743
CRITICAL,240,"New York, NY",Appliances,Headphones,Stormy,50,325.18947324321726,275.18947324321726,8,EMERGENCY AIR FREIGHT,273736.4728244931
CRITICAL,240,"Los Angeles, CA",Electronics,Headphones,Stormy,18,252.42655034518418,234.42655034518418,10,EMERGENCY AIR FREIGHT,248773.45522630945
CRITICAL,240,"Miami, FL",Electronics,Camera,Rainy,27,297.22449960795893,270.22449960795893,8,EMERGENCY AIR FREIGHT,239802.6254420949
CRITICAL,240,"Los Angeles, CA",Appliances,Headphones,Stormy,39,257.12241517199,218.12241517198999,10,EMERGENCY AIR FREIGHT,201193.93453049185
CRITICAL,240,"Dallas, TX",Appliances,TV,Rainy,18,338.8608688533248,320.8608688533248,10,EMERGENCY AIR FREIGHT,198853.52347184805
CRITICAL,240,"New York, NY",Appliances,Washing Machine,Stormy,15,280.578903048381,265.578903048381,8,EMERGENCY AIR FREIGHT,186840.069872597
CRITICAL,240,"Dallas, TX",Electronics,TV,Rainy,6,264.02950578371235,258.02950578371235,9,EMERGENCY AIR FREIGHT,183033.22992767635
CRITICAL,240,"Miami, FL",Appliances,TV,Rainy,30,310.9240980635234,280.9240980635234,10,EMERGENCY AIR FREIGHT,176330.43787251235
CRITICAL,240,"New York, NY",Appliances,Camera,Rainy,16,257.488339735856,241.48833973585602,9,EMERGENCY AIR FREIGHT,153615.56267277274
CRITICAL,240,"Chicago, IL",Electronics,Tablet,Stormy,16,282.5019271732755,266.5019271732755,10,EMERGENCY AIR FREIGHT,104332.83946906561
CRITICAL,240,"Los Angeles, CA",Appliances,Tablet,Stormy,15,361.81076677750724,346.81076677750724,8,EMERGENCY AIR FREIGHT,93638.90702992695
CRITICAL,240,"Chicago, IL",Electronics,Smartphone,Stormy,23,289.9241905892267,266.9241905892267,9,EMERGENCY AIR FREIGHT,83379.10941435676
CRITICAL,240,"Dallas, TX",Electronics,TV,Stormy,21,262.73904658421657,241.73904658421657,9,EMERGENCY AIR FREIGHT,78867.36394810065
CRITICAL,240,"Chicago, IL",Appliances,Laptop,Rainy,71,314.18312099522745,243.18312099522745,8,EMERGENCY AIR FREIGHT,56698.14466003728
CRITICAL,240,"Los Angeles, CA",Electronics,Laptop,Rainy,2,339.04635861210744,337.04635861210744,9,EMERGENCY AIR FREIGHT,48325.70689780396
CRITICAL,240,"Dallas, TX",Appliances,Camera,Stormy,12,252.55446667760788,240.55446667760788,8,EMERGENCY AIR FREIGHT,45346.92251339586
CRITICAL,200,"Los Angeles, CA",Appliances,Tablet,Cloudy,58,314.6905507291465,256.6905507291465,8,EMERGENCY AIR FREIGHT,400958.3409554487
CRITICAL,200,"Miami, FL",Appliances,Laptop,Rainy,27,252.89712853551504,225.89712853551504,10,EMERGENCY AIR FREIGHT,386927.89661205694
CRITICAL,200,"Dallas, TX",Electronics,Camera,Cloudy,30,297.61559970345695,267.61559970345695,9,EMERGENCY AIR FREIGHT,372745.71189096296
CRITICAL,200,"New York, NY",Appliances,Headphones,Sunny,15,277.6920092108333,262.6920092108333,9,EMERGENCY AIR FREIGHT,334372.77776419336
CRITICAL,200,"Dallas, TX",Electronics,TV,Stormy,35,284.18810081562344,249.18810081562344,9,EMERGENCY AIR FREIGHT,332289.8405566257
CRITICAL,200,"Dallas, TX",Appliances,Camera,Sunny,35,269.27987693621645,234.27987693621645,9,EMERGENCY AIR FREIGHT,323057.89350242633
CRITICAL,200,"Dallas, TX",Electronics,Fridge,Sunny,7,291.30528461688925,284.30528461688925,10,EMERGENCY AIR FREIGHT,299632.18251058576
CRITICAL,200,"Dallas, TX",Appliances,TV,Rainy,16,253.63557944508716,237.63557944508716,9,EMERGENCY AIR FREIGHT,285390.8254903719
CRITICAL,200,"New York, NY",Appliances,Tablet,Sunny,33,266.76275398722976,233.76275398722976,8,EMERGENCY AIR FREIGHT,282121.25490456796
CRITICAL,200,"Miami, FL",Electronics,Tablet,Sunny,23,262.48241455045024,239.48241455045024,9,EMERGENCY AIR FREIGHT,281284.07001023134
CRITICAL,200,"Los Angeles, CA",Appliances,Tablet,Stormy,29,275.11123754205886,246.11123754205886,10,EMERGENCY AIR FREIGHT,231091.06871486703
CRITICAL,200,"New York, NY",Appliances,Fridge,Cloudy,21,241.3837198801167,220.3837198801167,10,EMERGENCY AIR FREIGHT,230752.77390047617
CRITICAL,200,"Miami, FL",Appliances,TV,Rainy,51,288.2926079467408,237.29260794674082,8,EMERGENCY AIR FREIGHT,203255.3562628603
CRITICAL,200,"Dallas, TX",Electronics,Fridge,Sunny,38,243.56580896969547,205.56580896969547,10,EMERGENCY AIR FREIGHT,200661.00876767852
CRITICAL,200,"New York, NY",Electronics,TV,Rainy,31,260.1708454047775,229.17084540477748,10,EMERGENCY AIR FREIGHT,171882.7174704912
CRITICAL,200,"Chicago, IL",Appliances,TV,Sunny,18,265.99908243274854,247.99908243274854,10,EMERGENCY AIR FREIGHT,165083.06921218339
CRITICAL,200,"Miami, FL",Electronics,Headphones,Cloudy,53,272.167882149624,219.167882149624,9,EMERGENCY AIR FREIGHT,14688.6314616678
CRITICAL,200,"Dallas, TX",Electronics,Smartphone,Sunny,17,236.68859612995016,219.68859612995016,10,EMERGENCY AIR FREIGHT,14440.131423621624
CRITICAL,180,"Miami, FL",Appliances,Smartphone,Stormy,116,262.81118611225986,146.81118611225986,9,Weather-Priority Restock,279618.05318127124
CRITICAL,180,"Miami, FL",Appliances,Tablet,Rainy,56,270.6816345097734,214.6816345097734,10,Weather-Priority Restock,126730.86248380944
CRITICAL,180,"New York, NY",Electronics,TV,Rainy,108,300.81785662268294,192.81785662268294,8,Weather-Priority Restock,104908.33943126934
CRITICAL,180,"New York, NY",Appliances,Smartphone,Stormy,95,256.33000964596295,161.33000964596295,9,Weather-Priority Restock,71075.54904962544
CRITICAL,160,"Los Angeles, CA",Electronics,Smartphone,Cloudy,24,345.0636750370655,321.0636750370655,10,EMERGENCY AIR FREIGHT,596195.9807233284
CRITICAL,160,"Chicago, IL",Electronics,Tablet,Cloudy,8,343.496415383472,335.496415383472,8,EMERGENCY AIR FREIGHT,579348.6299407948
CRITICAL,160,"Chicago, IL",Appliances,TV,Sunny,13,307.26731899799074,294.26731899799074,10,EMERGENCY AIR FREIGHT,569622.0774039807
CRITICAL,160,"Dallas, TX",Electronics,Smartphone,Stormy,16,341.7319112642635,325.7319112642635,9,EMERGENCY AIR FREIGHT,561441.2942124226
CRITICAL,160,"Dallas, TX",Electronics,Laptop,Sunny,0,309.60098450430587,309.60098450430587,10,EMERGENCY AIR FREIGHT,560108.4290962749
CRITICAL,160,"Dallas, TX",Appliances,Smartphone,Cloudy,53,329.00758328063944,276.00758328063944,10,EMERGENCY AIR FREIGHT,545793.9556341333
CRITICAL,160,"New York, NY",Electronics,Washing Machine,Stormy,30,317.07969765751665,287.07969765751665,8,EMERGENCY AIR FREIGHT,541920.3452680942
CRITICAL,160,"Dallas, TX",Electronics,Washing Machine,Cloudy,1,267.6101687810892,266.6101687810892,10,EMERGENCY AIR FREIGHT,517205.0647234984
CRITICAL,160,"Chicago, IL",Appliances,Laptop,Sunny,29,339.7142599913332,310.7142599913332,8,EMERGENCY AIR FREIGHT,516925.99291978136
CRITICAL,160,"New York, NY",Electronics,Fridge,Cloudy,34,287.8583828567151,253.85838285671508,10,EMERGENCY AIR FREIGHT,502555.8247899532
CRITICAL,160,"Dallas, TX",Appliances,Fridge,Cloudy,15,305.37090995659497,290.37090995659497,9,EMERGENCY AIR FREIGHT,493801.86576308584
CRITICAL,160,"Dallas, TX",Electronics,TV,Cloudy,27,330.9187533907166,303.9187533907166,8,EMERGENCY AIR FREIGHT,485671.2854809668
CRITICAL,160,"Dallas, TX",Appliances,TV,Cloudy,49,304.21640798769874,255.21640798769874,8,EMERGENCY AIR FREIGHT,483155.2862896722
CRITICAL,160,"Dallas, TX",Appliances,Washing Machine,Cloudy,34,275.09491665617696,241.09491665617696,9,EMERGENCY AIR FREIGHT,482103.0391423577
CRITICAL,160,"New York, NY",Electronics,Camera,Sunny,8,265.8296978524735,257.8296978524735,10,EMERGENCY AIR FREIGHT,480643.5444396026
CRITICAL,160,"Chicago, IL",Appliances,Smartphone,Sunny,43,328.79810284578843,285.79810284578843,9,EMERGENCY AIR FREIGHT,459091.7825063322
CRITICAL,160,"Los Angeles, CA",Appliances,Headphones,Rainy,15,299.98675205175135,284.98675205175135,10,EMERGENCY AIR FREIGHT,443644.57665400236
CRITICAL,160,"Los Angeles, CA",Electronics,Laptop,Sunny,3,346.1290608143887,343.1290608143887,8,EMERGENCY AIR FREIGHT,435341.56461764756
CRITICAL,160,"Dallas, TX",Electronics,Headphones,Cloudy,39,309.7631741411433,270.7631741411433,9,EMERGENCY AIR FREIGHT,404035.5160851554
CRITICAL,160,"Chicago, IL",Electronics,Laptop,Rainy,28,301.73928894898125,273.73928894898125,10,EMERGENCY AIR FREIGHT,398370.0498145629
CRITICAL,160,"Dallas, TX",Appliances,Washing Machine,Rainy,10,314.28241657965066,304.28241657965066,9,EMERGENCY AIR FREIGHT,396492.160099948
CRITICAL,160,"Chicago, IL",Electronics,TV,Sunny,5,302.6404912897861,297.6404912897861,9,EMERGENCY AIR FREIGHT,393305.1215952363
CRITICAL,160,"Chicago, IL",Appliances,TV,Sunny,34,339.3806206667235,305.3806206667235,10,EMERGENCY AIR FREIGHT,388761.74533356563
CRITICAL,160,"Los Angeles, CA",Electronics,Headphones,Sunny,21,282.42801647495645,261.42801647495645,8,EMERGENCY AIR FREIGHT,384539.69799334294
CRITICAL,160,"Los Angeles, CA",Appliances,Smartphone,Sunny,31,296.8173236206496,265.8173236206496,9,EMERGENCY AIR FREIGHT,379802.4501624203
CRITICAL,160,"Los Angeles, CA",Appliances,Camera,Cloudy,11,314.1362764109133,303.1362764109133,8,EMERGENCY AIR FREIGHT,357643.2102723596
CRITICAL,160,"New York, NY",Electronics,Washing Machine,Cloudy,4,279.17150989346624,275.17150989346624,8,EMERGENCY AIR FREIGHT,349693.45820281474
CRITICAL,160,"Dallas, TX",Electronics,Headphones,Cloudy,8,294.32805405648395,286.32805405648395,10,EMERGENCY AIR FREIGHT,336721.79157042515
CRITICAL,160,"Dallas, TX",Appliances,Tablet,Cloudy,32,297.4369060593117,265.4369060593117,9,EMERGENCY AIR FREIGHT,322479.2971714578
CRITICAL,160,"Dallas, TX",Appliances,Fridge,Stormy,29,295.6017917729243,266.6017917729243,8,EMERGENCY AIR FREIGHT,321297.81537305744
CRITICAL,160,"Miami, FL",Electronics,Fridge,Sunny,10,294.62299858547703,284.62299858547703,10,EMERGENCY AIR FREIGHT,318467.51934727613
CRITICAL,160,"Chicago, IL",Appliances,Camera,Sunny,25,260.71731983655724,235.71731983655724,10,EMERGENCY AIR FREIGHT,311571.15335996135
CRITICAL,160,"Los Angeles, CA",Appliances,Camera,Stormy,37,263.54282168739945,226.54282168739945,9,EMERGENCY AIR FREIGHT,301662.1559307242
CRITICAL,160,"Chicago, IL",Electronics,Fridge,Cloudy,27,265.04197964845775,238.04197964845775,10,EMERGENCY AIR FREIGHT,296386.0688602947
CRITICAL,160,"Chicago, IL",Electronics,Headphones,Stormy,37,299.71153191226864,262.71153191226864,8,EMERGENCY AIR FREIGHT,291228.8687013454
CRITICAL,160,"Miami, FL",Appliances,Smartphone,Cloudy,56,307.27178915230246,251.27178915230246,8,EMERGENCY AIR FREIGHT,281321.38241702627
CRITICAL,160,"Miami, FL",Appliances,Fridge,Sunny,29,319.98632931965216,290.98632931965216,10,EMERGENCY AIR FREIGHT,273131.4081525983
CRITICAL,160,"Miami, FL",Appliances,Washing Machine,Stormy,42,328.83465547425556,286.83465547425556,8,EMERGENCY AIR FREIGHT,271698.3907048791
CRITICAL,160,"Miami, FL",Electronics,Headphones,Rainy,14,305.649106793069,291.649106793069,10,EMERGENCY AIR FREIGHT,268463.00280302
CRITICAL,160,"New York, NY",Appliances,Fridge,Cloudy,7,293.9333078622111,286.9333078622111,10,EMERGENCY AIR FREIGHT,257267.2731623371
