transaction_id,transaction_date,store_location,category,product_name,actual_demand,forecasted_demand,demand_gap,inventory_level,reorder_point,weather_conditions,is_demand_shock,stockout_indicator,revenue_at_risk
2371,2024-05-12 09:19:00,"New York, NY",Electronics,TV,495,411,84,9,97,Sunny,False,True,952550.28
2428,2024-06-07 11:54:00,"Chicago, IL",Appliances,Washing Machine,472,161,311,5,145,Stormy,False,True,924449.85
1497,2024-01-27 21:03:00,"Los Angeles, CA",Electronics,Smartphone,499,325,174,24,122,Cloudy,False,True,882046.5
145,2024-01-10 02:58:00,"Miami, FL",Electronics,Headphones,454,273,181,11,75,Rainy,False,True,879864.4500000001
4399,2024-02-18 23:12:00,"Miami, FL",Electronics,Headphones,488,479,9,53,82,Sunny,False,True,849476.7
1425,2024-04-25 18:32:00,"New York, NY",Appliances,Camera,446,478,-32,6,121,Rainy,False,True,846555.6
2,2024-07-28 12:45:00,"Dallas, TX",Electronics,TV,484,109,375,43,70,Rainy,False,True,843209.64
1422,2024-03-06 00:48:00,"Chicago, IL",Appliances,Tablet,433,491,-58,6,98,Cloudy,False,True,843034.64
336,2024-01-21 10:31:00,"Los Angeles, CA",Electronics,Laptop,446,120,326,22,130,Cloudy,False,True,840724.1599999999
4986,2024-03-17 17:21:00,"Chicago, IL",Electronics,TV,497,499,-2,41,65,Rainy,False,True,837051.8400000001
989,2024-02-03 15:05:00,"Los Angeles, CA",Electronics,Headphones,500,462,38,54,85,Cloudy,False,True,818521.5
4795,2024-06-09 06:15:00,"Chicago, IL",Electronics,Fridge,455,332,123,41,62,Rainy,False,True,814453.92
2655,2024-05-30 19:37:00,"Los Angeles, CA",Appliances,Washing Machine,485,113,372,51,82,Cloudy,False,True,790865.1799999999
1347,2024-05-19 13:33:00,"Chicago, IL",Electronics,Tablet,398,235,163,4,78,Cloudy,False,True,765431.68
3695,2024-09-07 13:09:00,"Chicago, IL",Electronics,Camera,492,377,115,26,117,Rainy,False,True,738950.18
675,2024-04-13 15:27:00,"New York, NY",Electronics,Fridge,501,268,233,124,75,Stormy,False,True,737660.8200000001
2720,2024-01-21 00:23:00,"Miami, FL",Electronics,TV,501,349,152,62,139,Stormy,False,True,732862.2100000001
417,2024-03-06 06:18:00,"New York, NY",Appliances,Laptop,502,483,19,26,97,Stormy,False,True,721611.24
3849,2024-09-10 01:13:00,"Miami, FL",Appliances,Smartphone,464,130,334,76,103,Stormy,False,True,718300.52
4178,2024-07-28 20:43:00,"Miami, FL",Electronics,Camera,466,288,178,78,123,Cloudy,False,True,716958.0399999999
2134,2024-07-04 20:13:00,"New York, NY",Electronics,Washing Machine,457,500,-43,80,67,Sunny,False,True,698023.04
40,2024-02-25 02:52:00,"Dallas, TX",Appliances,Headphones,505,290,215,44,135,Stormy,False,True,691504.61
2042,2024-02-07 23:57:00,"Miami, FL",Appliances,Smartphone,366,295,71,7,83,Sunny,False,True,691444.77
3047,2024-08-26 01:17:00,"Dallas, TX",Electronics,Fridge,509,153,356,16,139,Cloudy,False,True,688075.17
2595,2024-08-10 05:31:00,"Dallas, TX",Appliances,Washing Machine,399,294,105,16,72,Stormy,False,True,679231.35
198,2024-01-01 21:35:00,"Dallas, TX",Electronics,TV,452,116,336,27,117,Cloudy,False,True,679162.75
3226,2024-03-11 05:43:00,"New York, NY",Appliances,Washing Machine,469,189,280,48,118,Cloudy,False,True,678614.11
3515,2024-02-08 22:17:00,"Chicago, IL",Appliances,Camera,405,476,-71,60,122,Cloudy,False,True,676772.7000000001
4863,2024-07-11 02:50:00,"Miami, FL",Appliances,Camera,498,458,40,126,122,Cloudy,False,True,666441.72
